timestamp,datetime,locomotive_id,event,from_location,to_location,purpose
360.0,2025-12-01T06:00:00+00:00,LOCO_01,MOVING,track_19,collection1,
420.0,2025-12-01T07:00:00+00:00,LOCO_01,ALLOCATED,,,batch_transport
425.0,2025-12-01T07:05:00+00:00,LOCO_01,MOVING,collection1,retrofit,
487.0,2025-12-01T08:07:00+00:00,LOCO_02,MOVING,track_19,retrofit,
494.0,2025-12-01T08:14:00+00:00,LOCO_01,MOVING,retrofit,track_19,
495.0,2025-12-01T08:15:00+00:00,LOCO_02,MOVING,retrofit,WS_01,
499.0,2025-12-01T08:19:00+00:00,LOCO_01,PARKING,,,
499.0,2025-12-01T08:19:00+00:00,LOCO_01,MOVING,track_19,collection1,
506.0,2025-12-01T08:26:00+00:00,LOCO_02,MOVING,WS_01,track_19,
559.0,2025-12-01T09:19:00+00:00,LOCO_01,ALLOCATED,,,batch_transport
564.0,2025-12-01T09:24:00+00:00,LOCO_01,MOVING,collection1,retrofit,
566.5,2025-12-01T09:26:30+00:00,LOCO_02,MOVING,track_19,WS_01,
573.5,2025-12-01T09:33:30+00:00,LOCO_02,MOVING,WS_01,retrofitted,
578.5,2025-12-01T09:38:30+00:00,LOCO_02,MOVING,retrofitted,track_19,
623.5,2025-12-01T10:23:30+00:00,LOCO_02,ALLOCATED,,,batch_transport
623.5,2025-12-01T10:23:30+00:00,LOCO_02,MOVING,track_19,retrofitted,
630.5,2025-12-01T10:30:30+00:00,LOCO_02,MOVING,retrofitted,parking16,
633.0,2025-12-01T10:33:00+00:00,LOCO_01,MOVING,retrofit,track_19,
638.0,2025-12-01T10:38:00+00:00,LOCO_01,PARKING,,,
640.0,2025-12-01T10:40:00+00:00,LOCO_01,MOVING,track_19,retrofit,
648.0,2025-12-01T10:48:00+00:00,LOCO_01,MOVING,retrofit,WS_01,
659.0,2025-12-01T10:59:00+00:00,LOCO_01,MOVING,WS_01,track_19,
664.0,2025-12-01T11:04:00+00:00,LOCO_01,MOVING,track_19,collection1,
724.0,2025-12-01T12:04:00+00:00,LOCO_01,ALLOCATED,,,batch_transport
733.0,2025-12-01T12:13:00+00:00,LOCO_01,MOVING,collection1,retrofit,
752.0,2025-12-01T12:32:00+00:00,LOCO_02,MOVING,parking16,track_19,
812.0,2025-12-01T13:32:00+00:00,LOCO_02,MOVING,track_19,WS_01,
814.0,2025-12-01T13:34:00+00:00,LOCO_01,MOVING,retrofit,track_19,
819.0,2025-12-01T13:39:00+00:00,LOCO_01,PARKING,,,
819.0,2025-12-01T13:39:00+00:00,LOCO_02,MOVING,WS_01,retrofitted,
821.0,2025-12-01T13:41:00+00:00,LOCO_01,MOVING,track_19,retrofit,
824.0,2025-12-01T13:44:00+00:00,LOCO_02,MOVING,retrofitted,track_19,
829.0,2025-12-01T13:49:00+00:00,LOCO_01,MOVING,retrofit,WS_02,
831.0,2025-12-01T13:51:00+00:00,LOCO_02,MOVING,track_19,retrofit,
839.0,2025-12-01T13:59:00+00:00,LOCO_02,MOVING,retrofit,WS_01,
840.0,2025-12-01T14:00:00+00:00,LOCO_01,MOVING,WS_02,track_19,
845.0,2025-12-01T14:05:00+00:00,LOCO_01,MOVING,track_19,collection1,
850.0,2025-12-01T14:10:00+00:00,LOCO_02,MOVING,WS_01,track_19,
870.0,2025-12-01T14:30:00+00:00,LOCO_02,ALLOCATED,,,batch_transport
870.0,2025-12-01T14:30:00+00:00,LOCO_02,MOVING,track_19,retrofitted,
877.0,2025-12-01T14:37:00+00:00,LOCO_02,MOVING,retrofitted,parking16,
905.0,2025-12-01T15:05:00+00:00,LOCO_01,ALLOCATED,,,batch_transport
936.0,2025-12-01T15:36:00+00:00,LOCO_01,MOVING,collection1,retrofit,
998.5,2025-12-01T16:38:30+00:00,LOCO_02,MOVING,parking16,track_19,
1058.5,2025-12-01T17:38:30+00:00,LOCO_02,MOVING,track_19,WS_02,
1065.5,2025-12-01T17:45:30+00:00,LOCO_02,MOVING,WS_02,retrofitted,
1070.5,2025-12-01T17:50:30+00:00,LOCO_02,MOVING,retrofitted,track_19,
1075.5,2025-12-01T17:55:30+00:00,LOCO_02,MOVING,track_19,WS_01,
1082.5,2025-12-01T18:02:30+00:00,LOCO_02,MOVING,WS_01,retrofitted,
