timestamp,datetime,event_type,resource_type,resource_id,details
360.0,2025-12-01T06:00:00+00:00,WagonARRIVEDEvent,wagon,W11188,"{""location"": ""collection1"", ""status"": ""ARRIVED"", ""train_id"": ""T1"", ""rejection_reason"": """", ""rejection_description"": """"}"
360.0,2025-12-01T06:00:00+00:00,WagonARRIVEDEvent,wagon,W10437,"{""location"": ""collection1"", ""status"": ""ARRIVED"", ""train_id"": ""T1"", ""rejection_reason"": """", ""rejection_description"": """"}"
360.0,2025-12-01T06:00:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_01,"{""from_location"": ""track_19"", ""to_location"": ""collection1"", ""purpose"": """"}"
420.0,2025-12-01T07:00:00+00:00,WagonRAKE_COUPLING_STARTEDEvent,wagon,W11188,"{""location"": ""collection1"", ""status"": ""COUPLING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
420.0,2025-12-01T07:00:00+00:00,WagonRAKE_COUPLING_STARTEDEvent,wagon,W10437,"{""location"": ""collection1"", ""status"": ""COUPLING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
420.0,2025-12-01T07:00:00+00:00,LocomotiveALLOCATEDEvent,locomotive,LOCO_01,"{""from_location"": """", ""to_location"": """", ""purpose"": ""batch_transport""}"
420.0,2025-12-01T07:00:00+00:00,BatchFormed,batch,BATCH_retrofit_2_4534108576,"{""destination"": ""retrofit"", ""wagon_count"": 2, ""locomotive_id"": """", ""wagon_ids"": ""W11188,W10437""}"
425.0,2025-12-01T07:05:00+00:00,WagonMOVINGEvent,wagon,W11188,"{""location"": ""collection1"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
425.0,2025-12-01T07:05:00+00:00,WagonMOVINGEvent,wagon,W10437,"{""location"": ""collection1"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
425.0,2025-12-01T07:05:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_01,"{""from_location"": ""collection1"", ""to_location"": ""retrofit"", ""purpose"": """"}"
425.0,2025-12-01T07:05:00+00:00,BatchTransportStarted,batch,BATCH_retrofit_2_4534108576,"{""destination"": ""retrofit"", ""wagon_count"": 2, ""locomotive_id"": ""LOCO_01""}"
442.25,2025-12-01T07:22:15+00:00,WagonARRIVEDEvent,wagon,W12394,"{""location"": ""collection1"", ""status"": ""ARRIVED"", ""train_id"": ""T2"", ""rejection_reason"": """", ""rejection_description"": """"}"
442.25,2025-12-01T07:22:15+00:00,WagonARRIVEDEvent,wagon,W9278,"{""location"": ""collection1"", ""status"": ""ARRIVED"", ""train_id"": ""T2"", ""rejection_reason"": """", ""rejection_description"": """"}"
485.0,2025-12-01T08:05:00+00:00,WagonON_RETROFIT_TRACKEvent,wagon,W11188,"{""location"": ""retrofit"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
485.0,2025-12-01T08:05:00+00:00,WagonON_RETROFIT_TRACKEvent,wagon,W10437,"{""location"": ""retrofit"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
485.0,2025-12-01T08:05:00+00:00,BatchArrivedAtDestination,batch,BATCH_retrofit_2_4534108576,"{""destination"": ""retrofit"", ""wagon_count"": 2, ""locomotive_id"": """"}"
487.0,2025-12-01T08:07:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_02,"{""from_location"": ""track_19"", ""to_location"": ""retrofit"", ""purpose"": """"}"
494.0,2025-12-01T08:14:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_01,"{""from_location"": ""retrofit"", ""to_location"": ""track_19"", ""purpose"": """"}"
495.0,2025-12-01T08:15:00+00:00,WagonMOVINGEvent,wagon,W11188,"{""location"": ""retrofit"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
495.0,2025-12-01T08:15:00+00:00,WagonMOVINGEvent,wagon,W10437,"{""location"": ""retrofit"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
495.0,2025-12-01T08:15:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_02,"{""from_location"": ""retrofit"", ""to_location"": ""WS_01"", ""purpose"": """"}"
499.0,2025-12-01T08:19:00+00:00,LocomotivePARKINGEvent,locomotive,LOCO_01,"{""from_location"": """", ""to_location"": """", ""purpose"": """"}"
499.0,2025-12-01T08:19:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_01,"{""from_location"": ""track_19"", ""to_location"": ""collection1"", ""purpose"": """"}"
500.0,2025-12-01T08:20:00+00:00,WagonAT_WORKSHOPEvent,wagon,W11188,"{""location"": ""WS_01"", ""status"": ""ARRIVED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
500.0,2025-12-01T08:20:00+00:00,WagonAT_WORKSHOPEvent,wagon,W10437,"{""location"": ""WS_01"", ""status"": ""ARRIVED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
