timestamp,datetime,change_type,total_locomotives,busy_before,busy_after,available_before,available_after,utilization_before_percent,utilization_after_percent
360.0,2025-12-01T06:00:00+00:00,allocated,2,0,1,2,1,0.0,50.0
485.0,2025-12-01T08:05:00+00:00,allocated,2,1,2,1,0,50.0,100.0
499.0,2025-12-01T08:19:00+00:00,released,2,2,1,0,1,100.0,50.0
499.0,2025-12-01T08:19:00+00:00,allocated,2,1,2,1,0,50.0,100.0
511.0,2025-12-01T08:31:00+00:00,released,2,2,1,0,1,100.0,50.0
566.5,2025-12-01T09:26:30+00:00,allocated,2,1,2,1,0,50.0,100.0
583.5,2025-12-01T09:43:30+00:00,released,2,2,1,0,1,100.0,50.0
623.5,2025-12-01T10:23:30+00:00,allocated,2,1,2,1,0,50.0,100.0
638.0,2025-12-01T10:38:00+00:00,released,2,2,1,0,1,100.0,50.0
638.0,2025-12-01T10:38:00+00:00,allocated,2,2,2,0,0,100.0,100.0
664.0,2025-12-01T11:04:00+00:00,released,2,2,1,0,1,100.0,50.0
664.0,2025-12-01T11:04:00+00:00,allocated,2,2,2,0,0,100.0,100.0
812.0,2025-12-01T13:32:00+00:00,released,2,2,1,0,1,100.0,50.0
812.0,2025-12-01T13:32:00+00:00,allocated,2,2,2,0,0,100.0,100.0
819.0,2025-12-01T13:39:00+00:00,released,2,2,1,0,1,100.0,50.0
819.0,2025-12-01T13:39:00+00:00,allocated,2,2,2,0,0,100.0,100.0
829.0,2025-12-01T13:49:00+00:00,released,2,2,1,0,1,100.0,50.0
829.0,2025-12-01T13:49:00+00:00,allocated,2,1,2,1,0,50.0,100.0
845.0,2025-12-01T14:05:00+00:00,released,2,2,1,0,1,100.0,50.0
845.0,2025-12-01T14:05:00+00:00,allocated,2,2,2,0,0,100.0,100.0
855.0,2025-12-01T14:15:00+00:00,released,2,2,1,0,1,100.0,50.0
870.0,2025-12-01T14:30:00+00:00,allocated,2,1,2,1,0,50.0,100.0
1058.5,2025-12-01T17:38:30+00:00,released,2,2,1,0,1,100.0,50.0
1058.5,2025-12-01T17:38:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1075.5,2025-12-01T17:55:30+00:00,released,2,2,1,0,1,100.0,50.0
1075.5,2025-12-01T17:55:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1088.0,2025-12-01T18:08:00+00:00,released,2,2,1,0,1,100.0,50.0
1088.0,2025-12-01T18:08:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1092.5,2025-12-01T18:12:30+00:00,released,2,2,1,0,1,100.0,50.0
1092.5,2025-12-01T18:12:30+00:00,allocated,2,1,2,1,0,50.0,100.0
1114.0,2025-12-01T18:34:00+00:00,released,2,2,1,0,1,100.0,50.0
1117.5,2025-12-01T18:37:30+00:00,allocated,2,1,2,1,0,50.0,100.0
1118.5,2025-12-01T18:38:30+00:00,released,2,2,1,0,1,100.0,50.0
1169.5,2025-12-01T19:29:30+00:00,allocated,2,1,2,1,0,50.0,100.0
1186.5,2025-12-01T19:46:30+00:00,released,2,2,1,0,1,100.0,50.0
1186.5,2025-12-01T19:46:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1203.5,2025-12-01T20:03:30+00:00,released,2,2,1,0,1,100.0,50.0
1203.5,2025-12-01T20:03:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1229.5,2025-12-01T20:29:30+00:00,released,2,2,1,0,1,100.0,50.0
1229.5,2025-12-01T20:29:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1255.5,2025-12-01T20:55:30+00:00,released,2,2,1,0,1,100.0,50.0
1255.5,2025-12-01T20:55:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1306.0,2025-12-01T21:46:00+00:00,released,2,2,1,0,1,100.0,50.0
1306.0,2025-12-01T21:46:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1323.0,2025-12-01T22:03:00+00:00,released,2,2,1,0,1,100.0,50.0
1323.0,2025-12-01T22:03:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1340.0,2025-12-01T22:20:00+00:00,released,2,2,1,0,1,100.0,50.0
1340.0,2025-12-01T22:20:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1366.0,2025-12-01T22:46:00+00:00,released,2,2,1,0,1,100.0,50.0
1366.0,2025-12-01T22:46:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1392.0,2025-12-01T23:12:00+00:00,released,2,2,1,0,1,100.0,50.0
1392.0,2025-12-01T23:12:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1418.5,2025-12-01T23:38:30+00:00,released,2,2,1,0,1,100.0,50.0
1421.5,2025-12-01T23:41:30+00:00,allocated,2,1,2,1,0,50.0,100.0
1438.5,2025-12-01T23:58:30+00:00,released,2,2,1,0,1,100.0,50.0
1438.5,2025-12-01T23:58:30+00:00,allocated,2,1,2,1,0,50.0,100.0
1464.5,2025-12-02T00:24:30+00:00,released,2,2,1,0,1,100.0,50.0
1464.5,2025-12-02T00:24:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1481.5,2025-12-02T00:41:30+00:00,released,2,2,1,0,1,100.0,50.0
1481.5,2025-12-02T00:41:30+00:00,allocated,2,1,2,1,0,50.0,100.0
1507.5,2025-12-02T01:07:30+00:00,released,2,2,1,0,1,100.0,50.0
1507.5,2025-12-02T01:07:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1586.5,2025-12-02T02:26:30+00:00,released,2,2,1,0,1,100.0,50.0
1586.5,2025-12-02T02:26:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1603.5,2025-12-02T02:43:30+00:00,released,2,2,1,0,1,100.0,50.0
1603.5,2025-12-02T02:43:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1620.5,2025-12-02T03:00:30+00:00,released,2,2,1,0,1,100.0,50.0
1620.5,2025-12-02T03:00:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1646.5,2025-12-02T03:26:30+00:00,released,2,2,1,0,1,100.0,50.0
1646.5,2025-12-02T03:26:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1672.5,2025-12-02T03:52:30+00:00,released,2,2,1,0,1,100.0,50.0
1672.5,2025-12-02T03:52:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1702.5,2025-12-02T04:22:30+00:00,released,2,2,1,0,1,100.0,50.0
1702.5,2025-12-02T04:22:30+00:00,allocated,2,2,2,0,0,100.0,100.0
