timestamp,datetime,change_type,total_locomotives,busy_before,busy_after,available_before,available_after,utilization_before_percent,utilization_after_percent
360.0,2025-12-01T06:00:00+00:00,allocated,2,0,1,2,1,0.0,50.0
485.0,2025-12-01T08:05:00+00:00,allocated,2,1,2,1,0,50.0,100.0
499.0,2025-12-01T08:19:00+00:00,released,2,2,1,0,1,100.0,50.0
499.0,2025-12-01T08:19:00+00:00,allocated,2,1,2,1,0,50.0,100.0
511.0,2025-12-01T08:31:00+00:00,released,2,2,1,0,1,100.0,50.0
566.5,2025-12-01T09:26:30+00:00,allocated,2,1,2,1,0,50.0,100.0
583.5,2025-12-01T09:43:30+00:00,released,2,2,1,0,1,100.0,50.0
583.5,2025-12-01T09:43:30+00:00,allocated,2,2,2,0,0,100.0,100.0
638.0,2025-12-01T10:38:00+00:00,released,2,2,1,0,1,100.0,50.0
638.0,2025-12-01T10:38:00+00:00,allocated,2,2,2,0,0,100.0,100.0
664.0,2025-12-01T11:04:00+00:00,released,2,2,1,0,1,100.0,50.0
664.0,2025-12-01T11:04:00+00:00,allocated,2,2,2,0,0,100.0,100.0
772.0,2025-12-01T12:52:00+00:00,released,2,2,1,0,1,100.0,50.0
772.0,2025-12-01T12:52:00+00:00,allocated,2,2,2,0,0,100.0,100.0
789.0,2025-12-01T13:09:00+00:00,released,2,2,1,0,1,100.0,50.0
793.0,2025-12-01T13:13:00+00:00,allocated,2,1,2,1,0,50.0,100.0
819.0,2025-12-01T13:39:00+00:00,released,2,2,1,0,1,100.0,50.0
819.0,2025-12-01T13:39:00+00:00,released,2,1,0,1,2,50.0,0.0
819.0,2025-12-01T13:39:00+00:00,allocated,2,2,1,0,1,100.0,50.0
829.0,2025-12-01T13:49:00+00:00,allocated,2,1,2,1,0,50.0,100.0
845.0,2025-12-01T14:05:00+00:00,released,2,2,1,0,1,100.0,50.0
849.0,2025-12-01T14:09:00+00:00,allocated,2,1,2,1,0,50.0,100.0
1017.5,2025-12-01T16:57:30+00:00,released,2,2,1,0,1,100.0,50.0
1017.5,2025-12-01T16:57:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1034.5,2025-12-01T17:14:30+00:00,released,2,2,1,0,1,100.0,50.0
1034.5,2025-12-01T17:14:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1051.5,2025-12-01T17:31:30+00:00,released,2,2,1,0,1,100.0,50.0
1051.5,2025-12-01T17:31:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1077.5,2025-12-01T17:57:30+00:00,released,2,2,1,0,1,100.0,50.0
1077.5,2025-12-01T17:57:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1100.0,2025-12-01T18:20:00+00:00,released,2,2,1,0,1,100.0,50.0
1100.0,2025-12-01T18:20:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1103.5,2025-12-01T18:23:30+00:00,released,2,2,1,0,1,100.0,50.0
1130.0,2025-12-01T18:50:00+00:00,allocated,2,1,2,1,0,50.0,100.0
1288.5,2025-12-01T21:28:30+00:00,released,2,2,1,0,1,100.0,50.0
1288.5,2025-12-01T21:28:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1301.0,2025-12-01T21:41:00+00:00,released,2,2,1,0,1,100.0,50.0
1301.0,2025-12-01T21:41:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1305.5,2025-12-01T21:45:30+00:00,released,2,2,1,0,1,100.0,50.0
1305.5,2025-12-01T21:45:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1318.0,2025-12-01T21:58:00+00:00,released,2,2,1,0,1,100.0,50.0
1318.0,2025-12-01T21:58:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1344.0,2025-12-01T22:24:00+00:00,released,2,2,1,0,1,100.0,50.0
1344.0,2025-12-01T22:24:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1370.0,2025-12-01T22:50:00+00:00,released,2,2,1,0,1,100.0,50.0
1370.0,2025-12-01T22:50:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1494.0,2025-12-02T00:54:00+00:00,released,2,2,1,0,1,100.0,50.0
1494.0,2025-12-02T00:54:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1501.0,2025-12-02T01:01:00+00:00,released,2,2,1,0,1,100.0,50.0
1501.0,2025-12-02T01:01:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1511.0,2025-12-02T01:11:00+00:00,released,2,2,1,0,1,100.0,50.0
1511.0,2025-12-02T01:11:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1518.0,2025-12-02T01:18:00+00:00,released,2,2,1,0,1,100.0,50.0
1518.0,2025-12-02T01:18:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1544.0,2025-12-02T01:44:00+00:00,released,2,2,1,0,1,100.0,50.0
1544.0,2025-12-02T01:44:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1570.0,2025-12-02T02:10:00+00:00,released,2,2,1,0,1,100.0,50.0
1570.0,2025-12-02T02:10:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1702.5,2025-12-02T04:22:30+00:00,released,2,2,1,0,1,100.0,50.0
1702.5,2025-12-02T04:22:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1709.0,2025-12-02T04:29:00+00:00,released,2,2,1,0,1,100.0,50.0
1709.0,2025-12-02T04:29:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1726.0,2025-12-02T04:46:00+00:00,released,2,2,1,0,1,100.0,50.0
1726.0,2025-12-02T04:46:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1743.0,2025-12-02T05:03:00+00:00,released,2,2,1,0,1,100.0,50.0
1743.0,2025-12-02T05:03:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1769.0,2025-12-02T05:29:00+00:00,released,2,2,1,0,1,100.0,50.0
1769.0,2025-12-02T05:29:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1795.0,2025-12-02T05:55:00+00:00,released,2,2,1,0,1,100.0,50.0
1795.0,2025-12-02T05:55:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1833.5,2025-12-02T06:33:30+00:00,released,2,2,1,0,1,100.0,50.0
1833.5,2025-12-02T06:33:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1850.5,2025-12-02T06:50:30+00:00,released,2,2,1,0,1,100.0,50.0
1850.5,2025-12-02T06:50:30+00:00,allocated,2,2,2,0,0,100.0,100.0
