timestamp,datetime,locomotive_id,event,from_location,to_location,purpose
360.0,2025-12-01T06:00:00+00:00,LOCO_01,MOVING,track_19,collection1,
420.0,2025-12-01T07:00:00+00:00,LOCO_01,ALLOCATED,,,batch_transport
425.0,2025-12-01T07:05:00+00:00,LOCO_01,MOVING,collection1,retrofit,
487.0,2025-12-01T08:07:00+00:00,LOCO_02,MOVING,track_19,retrofit,
494.0,2025-12-01T08:14:00+00:00,LOCO_01,MOVING,retrofit,track_19,
495.0,2025-12-01T08:15:00+00:00,LOCO_02,MOVING,retrofit,WS_01,
499.0,2025-12-01T08:19:00+00:00,LOCO_01,PARKING,,,
499.0,2025-12-01T08:19:00+00:00,LOCO_01,MOVING,track_19,collection1,
506.0,2025-12-01T08:26:00+00:00,LOCO_02,MOVING,WS_01,track_19,
559.0,2025-12-01T09:19:00+00:00,LOCO_01,ALLOCATED,,,batch_transport
564.0,2025-12-01T09:24:00+00:00,LOCO_01,MOVING,collection1,retrofit,
566.5,2025-12-01T09:26:30+00:00,LOCO_02,MOVING,track_19,WS_01,
573.5,2025-12-01T09:33:30+00:00,LOCO_02,MOVING,WS_01,retrofitted,
578.5,2025-12-01T09:38:30+00:00,LOCO_02,MOVING,retrofitted,track_19,
583.5,2025-12-01T09:43:30+00:00,LOCO_02,ALLOCATED,,,batch_transport
583.5,2025-12-01T09:43:30+00:00,LOCO_02,MOVING,track_19,retrofitted,
590.5,2025-12-01T09:50:30+00:00,LOCO_02,MOVING,retrofitted,parking16,
633.0,2025-12-01T10:33:00+00:00,LOCO_01,MOVING,retrofit,track_19,
638.0,2025-12-01T10:38:00+00:00,LOCO_01,PARKING,,,
640.0,2025-12-01T10:40:00+00:00,LOCO_01,MOVING,track_19,retrofit,
648.0,2025-12-01T10:48:00+00:00,LOCO_01,MOVING,retrofit,WS_01,
659.0,2025-12-01T10:59:00+00:00,LOCO_01,MOVING,WS_01,track_19,
664.0,2025-12-01T11:04:00+00:00,LOCO_01,MOVING,track_19,collection1,
712.0,2025-12-01T11:52:00+00:00,LOCO_02,MOVING,parking16,track_19,
724.0,2025-12-01T12:04:00+00:00,LOCO_01,ALLOCATED,,,batch_transport
733.0,2025-12-01T12:13:00+00:00,LOCO_01,MOVING,collection1,retrofit,
772.0,2025-12-01T12:52:00+00:00,LOCO_02,MOVING,track_19,WS_01,
779.0,2025-12-01T12:59:00+00:00,LOCO_02,MOVING,WS_01,retrofitted,
784.0,2025-12-01T13:04:00+00:00,LOCO_02,MOVING,retrofitted,track_19,
795.0,2025-12-01T13:15:00+00:00,LOCO_02,MOVING,track_19,retrofit,
803.0,2025-12-01T13:23:00+00:00,LOCO_02,MOVING,retrofit,WS_01,
814.0,2025-12-01T13:34:00+00:00,LOCO_01,MOVING,retrofit,track_19,
814.0,2025-12-01T13:34:00+00:00,LOCO_02,MOVING,WS_01,track_19,
819.0,2025-12-01T13:39:00+00:00,LOCO_01,PARKING,,,
821.0,2025-12-01T13:41:00+00:00,LOCO_01,MOVING,track_19,retrofit,
829.0,2025-12-01T13:49:00+00:00,LOCO_01,MOVING,retrofit,WS_02,
829.0,2025-12-01T13:49:00+00:00,LOCO_02,ALLOCATED,,,batch_transport
829.0,2025-12-01T13:49:00+00:00,LOCO_02,MOVING,track_19,retrofitted,
836.0,2025-12-01T13:56:00+00:00,LOCO_02,MOVING,retrofitted,parking16,
840.0,2025-12-01T14:00:00+00:00,LOCO_01,MOVING,WS_02,track_19,
849.0,2025-12-01T14:09:00+00:00,LOCO_01,MOVING,track_19,collection1,
909.0,2025-12-01T15:09:00+00:00,LOCO_01,ALLOCATED,,,batch_transport
942.0,2025-12-01T15:42:00+00:00,LOCO_01,MOVING,collection1,retrofit,
957.5,2025-12-01T15:57:30+00:00,LOCO_02,MOVING,parking16,track_19,
1017.5,2025-12-01T16:57:30+00:00,LOCO_02,MOVING,track_19,WS_01,
1024.5,2025-12-01T17:04:30+00:00,LOCO_02,MOVING,WS_01,retrofitted,
1029.5,2025-12-01T17:09:30+00:00,LOCO_02,MOVING,retrofitted,track_19,
1034.5,2025-12-01T17:14:30+00:00,LOCO_02,MOVING,track_19,WS_02,
1041.5,2025-12-01T17:21:30+00:00,LOCO_02,MOVING,WS_02,retrofitted,
